

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
022.235  000.733  000.296: require('lsp-zero')
022.276  000.040  000.040: require('lsp-zero.settings')
022.316  000.038  000.038: require('lsp-zero.preset')
022.351  000.031  000.031: require('lsp-zero.installer')
022.420  000.041  000.041: require('mason-core.path')
022.561  000.092  000.092: require('mason-core.functional')
022.659  000.047  000.047: require('mason-core.functional.data')
022.664  000.093  000.046: require('mason-core.functional.function')
022.715  000.041  000.041: require('mason-core.functional.relation')
022.769  000.046  000.046: require('mason-core.functional.logic')
022.781  000.361  000.089: require('mason-core.platform')
022.827  000.045  000.045: require('mason.settings')
022.829  000.477  000.030: require('mason')
022.979  000.079  000.079: require('mason-core.functional.list')
023.024  000.042  000.042: require('mason-core.functional.string')
023.044  000.201  000.080: require('mason.api.command')
023.173  000.125  000.125: require('mason-registry.sources')
023.577  000.314  000.314: require('mason-core.log')
023.638  000.058  000.058: require('mason-lspconfig.settings')
023.641  000.433  000.061: require('mason-lspconfig')
023.710  000.032  000.032: require('mason-lspconfig.notify')
023.739  000.098  000.066: require('mason-lspconfig.lspconfig_hook')
023.926  000.135  000.135: require('mason-core.functional.table')
023.965  000.225  000.090: require('mason-lspconfig.mappings.server')
024.330  000.258  000.258: require('mason-core.EventEmitter')
024.463  000.130  000.130: require('mason-core.optional')
024.946  000.309  000.309: require('mason-core.async')
025.033  000.079  000.079: require('mason-core.async.uv')
025.040  000.576  000.188: require('mason-core.fs')
025.079  001.111  000.147: require('mason-registry')
025.102  000.022  000.022: require('mason-lspconfig.server_config_extensions')
025.131  000.027  000.027: require('lspconfig.server_configurations.omnisharp')
025.434  000.024  000.024: require('mason-core.functional.number')
025.452  000.081  000.057: require('mason-lspconfig.api.command')
025.583  000.042  000.042: require('cmp.utils.char')
025.590  000.067  000.025: require('cmp.utils.str')
025.647  000.015  000.015: require('cmp.utils.buffer')
025.649  000.041  000.026: require('cmp.utils.keymap')
025.651  000.061  000.020: require('cmp.utils.feedkeys')
025.718  000.022  000.022: require('cmp.config.mapping')
025.735  000.016  000.016: require('cmp.utils.cache')
025.802  000.024  000.024: require('cmp.config.compare')
025.804  000.068  000.045: require('cmp.config.default')
025.816  000.141  000.034: require('cmp.config')
025.828  000.176  000.035: require('cmp.utils.async')
025.868  000.018  000.018: require('cmp.utils.pattern')
025.871  000.042  000.024: require('cmp.context')
025.970  000.020  000.020: require('cmp.matcher')
025.974  000.060  000.040: require('cmp.entry')
025.977  000.106  000.046: require('cmp.source')
026.015  000.015  000.015: require('cmp.utils.event')
026.070  000.014  000.014: require('cmp.utils.options')
026.073  000.039  000.025: require('cmp.utils.window')
026.074  000.058  000.019: require('cmp.view.docs_view')
